applicant_age,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,employment_status,education,marital_status,dependents,property_area,self_employed,existing_loans,monthly_expenses,savings,debt_to_income_ratio,loan_status,risk_category
33,66332,22805,28000,36,1,Employed,Graduate,Married,3,Semiurban,No,2,33067,110223,0.65,Rejected,Low Risk
24,57908,0,25000,48,,Employed,Graduate,Single,2,Urban,No,0,16803,44094,0.29,Approved,Low Risk
38,65554,0,76000,60,1,Employed,Graduate,Single,1,Semiurban,No,1,35230,40775,0.61,Approved,Medium Risk
44,72497,90659,,84,1,Employed,Graduate,Married,2,Semiurban,No,1,25531,97300,0.45,Approved,Low Risk
39,39368,0,13000,36,0,Unemployed,Graduate,Married,2,Semiurban,No,0,12643,0,0.37,Rejected,High Risk
41,57221,0,42000,36,1,Employed,Graduate,Married,4,Urban,No,3,20019,44646,0.61,Approved,Low Risk
37,129938,29057,60000,84,1,Employed,Not Graduate,Married,4,Semiurban,Yes,0,61501,147735,0.48,Approved,Low Risk
49,61309,0,,48,1,Employed,Graduate,Single,1,Urban,Yes,0,28686,38151,0.47,Approved,Low Risk
46,47372,0,34000,24,0,Employed,Not Graduate,Single,1,Semiurban,No,0,11913,26667,0.27,Approved,Medium Risk
46,26993,11501,31000,84,1,Employed,Graduate,Married,4,Urban,No,1,11167,16546,0.54,Approved,Low Risk
40,40946,0,28000,48,,Employed,Not Graduate,Single,1,Urban,No,0,22382,27083,0.55,Approved,Low Risk
41,118556,0,33000,24,1,Unemployed,Graduate,Single,2,Semiurban,No,0,51553,81392,0.44,Approved,Low Risk
40,32941,31195,85000,180,1,Employed,Not Graduate,Married,2,Urban,Yes,0,11531,0,0.35,Rejected,High Risk
25,63626,0,94000,24,1,Employed,Graduate,Single,2,Rural,No,0,25851,61381,0.41,Approved,Low Risk
48,27321,0,31000,24,1,Employed,Graduate,Single,3,Rural,No,0,12731,20212,0.49,Rejected,Medium Risk
41,78097,0,43000,36,1,Employed,Graduate,Married,0,Urban,Yes,0,28651,59969,0.37,Approved,Low Risk
37,44268,20461,21000,36,,Employed,Graduate,Married,2,Rural,No,1,18293,53869,0.49,Approved,Low Risk
35,37740,0,45000,84,1,Employed,Graduate,Married,0,Urban,No,0,14783,93717,0.39,Approved,Low Risk
24,54194,0,73000,48,0,Unemployed,Graduate,Single,,Semiurban,No,2,30659,26018,0.75,Rejected,High Risk
32,24934,41496,30000,36,1,Employed,Graduate,Married,1,Semiurban,No,0,6864,12213,0.28,Approved,Low Risk
43,56038,0,32000,12,1,Employed,Graduate,Married,3,Urban,No,0,19474,123850,0.35,Approved,Low Risk
54,77323,0,76000,12,1,Unemployed,Not Graduate,Single,0,Rural,No,0,19548,91393,0.26,Approved,Low Risk
62,51124,47454,65000,240,1,Employed,Graduate,Married,0,Urban,No,3,31235,50237,0.85,Rejected,Medium Risk
38,31102,37943,11000,24,1,Employed,Graduate,Married,1,Rural,No,0,14285,19004,0.5,Approved,Low Risk
32,34636,0,10000,36,1,Employed,Graduate,Married,4,Urban,Yes,2,19613,19812,0.72,Approved,Medium Risk
41,62424,0,24000,24,1,Employed,Graduate,Married,2,Semiurban,No,0,32674,166523,0.53,Approved,Low Risk
37,37529,0,16000,180,1,Employed,Graduate,Single,3,Urban,Yes,0,16505,0,0.49,Approved,High Risk
40,24724,0,10000,60,1,Unemployed,Graduate,Married,0,Urban,No,1,11001,55669,0.52,Approved,Medium Risk
29,54628,0,41000,60,0,Employed,Not Graduate,Single,,Rural,Yes,0,29051,18121,0.53,Rejected,High Risk
29,110281,0,31000,60,1,Employed,Not Graduate,Married,2,Semiurban,No,1,42470,0,0.46,Approved,Medium Risk
53,36760,0,46000,36,0,Employed,Not Graduate,Single,2,Urban,No,0,11818,19921,0.33,Rejected,High Risk
42,42498,0,12000,120,1,Employed,Not Graduate,Single,0,Semiurban,No,0,13771,22122,0.33,Approved,Low Risk
34,56996,41529,62000,24,1,Employed,Graduate,Married,2,Urban,No,0,26398,37286,0.49,Approved,Low Risk
37,73098,60870,41000,240,1,Unemployed,Graduate,Married,0,Semiurban,No,0,33981,84104,0.46,Approved,Low Risk
41,26390,0,10000,24,1,Employed,Not Graduate,Married,0,Urban,No,1,9243,0,0.43,Rejected,High Risk
44,87689,0,80000,36,0,Unemployed,Not Graduate,Single,1,Rural,No,0,37371,46559,0.44,Rejected,High Risk
33,19098,40454,67000,12,1,Unemployed,Not Graduate,Married,0,Urban,No,3,8120,28509,0.65,Rejected,High Risk
21,34318,16211,33000,48,1,Employed,Not Graduate,Married,0,Rural,No,0,13517,44164,0.39,Approved,Low Risk
35,42564,32941,45000,24,1,Employed,Not Graduate,Married,4,Semiurban,Yes,0,17515,43766,0.43,Approved,Low Risk
51,63893,0,53000,84,1,Employed,Not Graduate,Married,2,Rural,Yes,0,16718,50856,0.27,Approved,Low Risk
49,73791,31863,56000,240,1,Employed,Graduate,Married,0,Semiurban,No,3,32788,63867,0.7,Approved,Low Risk
51,28779,0,23000,36,1,Employed,Graduate,Single,3,Rural,No,1,12593,35758,0.56,Approved,Medium Risk
28,40465,0,56000,36,0,Employed,Graduate,Single,1,Urban,No,0,17736,8246,0.44,Rejected,High Risk
42,59942,0,72000,60,1,Employed,Graduate,Single,2,Rural,Yes,0,22098,89337,0.37,Approved,Low Risk
41,56048,0,46000,48,1,Employed,Not Graduate,Single,0,Semiurban,No,1,26272,63840,0.56,Rejected,Low Risk
38,36890,0,,48,0,Employed,Graduate,Married,0,Semiurban,No,2,12741,0,0.56,Rejected,High Risk
41,27653,20795,34000,120,1,Employed,Graduate,Married,0,Urban,No,1,13200,22884,0.55,Approved,Low Risk
39,51174,48924,76000,360,1,Employed,Graduate,Married,2,Urban,Yes,0,22287,50783,0.48,Approved,Low Risk
29,42570,0,25000,12,1,Employed,Graduate,Single,2,Rural,No,1,19428,41051,0.57,Approved,Low Risk
42,52872,20846,61000,60,1,Employed,Not Graduate,Married,2,Semiurban,No,2,20241,29356,0.53,Rejected,Low Risk
33,36311,17346,18000,84,0,Employed,Graduate,Married,3,Urban,No,1,12149,11688,0.41,Approved,Low Risk
35,52654,0,20000,180,0,Employed,Graduate,Single,4,Semiurban,No,0,25392,28648,0.48,Approved,Medium Risk
32,34193,56681,36000,24,1,Employed,Graduate,Married,4,Semiurban,No,4,15333,0,0.76,Rejected,High Risk
31,53100,0,76000,240,0,Unemployed,Graduate,Single,2,Urban,No,0,24717,11817,0.5,Rejected,High Risk
36,59060,0,30000,120,,Employed,Not Graduate,Married,1,Semiurban,No,2,30771,86055,0.67,Approved,Low Risk
21,52078,0,17000,60,1,Employed,Not Graduate,Married,4,Semiurban,No,0,31723,31210,0.67,Approved,Low Risk
40,27578,32699,82000,48,1,Employed,Graduate,Married,4,Semiurban,No,2,17658,45529,0.82,Rejected,High Risk
55,192500,0,139000,36,1,Employed,Graduate,Single,0,Semiurban,No,2,45369,129596,0.39,Approved,Low Risk
27,47358,21004,21000,84,1,Employed,Not Graduate,Married,0,Semiurban,No,0,16574,92397,0.35,Approved,Low Risk
37,28376,34894,,48,1,Employed,Graduate,Married,0,Rural,Yes,0,8898,40013,0.33,Approved,Low Risk
33,35409,0,28000,60,1,Employed,Graduate,Single,1,Semiurban,No,1,12083,52772,0.44,Approved,Low Risk
39,38746,22003,58000,240,1,Employed,Not Graduate,Married,2,Rural,No,0,18537,60974,0.48,Approved,Low Risk
38,48532,0,75000,48,1,Unemployed,Graduate,Married,0,Urban,No,1,21187,62692,0.58,Rejected,High Risk
31,28303,0,22000,180,1,Employed,Graduate,Single,2,Rural,No,0,10392,69651,0.37,Approved,Low Risk
65,64419,31427,88000,60,,Unemployed,Graduate,Married,3,Rural,No,1,27236,84359,0.51,Approved,Medium Risk
49,76661,14732,23000,12,1,Employed,Not Graduate,Married,1,Urban,No,2,33617,58093,0.61,Approved,Low Risk
37,123933,0,50000,84,1,Employed,Graduate,Married,4,Semiurban,No,0,58417,278242,0.52,Approved,Low Risk
34,57614,0,34000,60,1,Unemployed,Graduate,Single,2,Rural,No,1,18361,77746,0.42,Approved,Low Risk
23,42749,28879,65000,24,1,Employed,Graduate,Married,0,Rural,Yes,2,10230,22484,0.44,Approved,Low Risk
31,60674,0,99000,12,,Employed,Graduate,Single,0,Urban,No,0,18178,42830,0.3,Approved,Low Risk
37,33564,0,68000,84,0,Employed,Graduate,Single,3,Rural,No,0,17349,10174,0.54,Rejected,High Risk
41,27836,0,20000,48,1,Employed,Graduate,Married,3,Urban,No,0,12465,26790,0.45,Approved,Low Risk
38,57017,29224,32000,240,1,Unemployed,Graduate,Married,0,Semiurban,No,0,17602,47356,0.34,Approved,Low Risk
44,83667,0,99000,60,1,Employed,Graduate,Single,1,Urban,Yes,0,29651,171514,0.35,Approved,Low Risk
36,20795,12518,16000,24,1,Employed,Graduate,Married,,Urban,Yes,1,6145,0,0.41,Rejected,High Risk
49,38975,19634,64000,24,1,Employed,Not Graduate,Married,2,Rural,No,2,11137,55851,0.44,Approved,Low Risk
44,43869,0,60000,120,1,Employed,Not Graduate,Married,1,Rural,No,0,21151,0,0.48,Rejected,High Risk
42,49466,15332,69000,36,1,Employed,Graduate,Married,1,Semiurban,No,0,17770,31224,0.36,Approved,Low Risk
25,73909,0,24000,120,1,Employed,Not Graduate,Married,1,Urban,No,0,31278,49266,0.42,Approved,Low Risk
25,56320,0,10000,24,,Employed,Graduate,Single,0,Semiurban,No,0,22687,47793,0.42,Approved,Low Risk
42,21246,47619,32000,36,1,Employed,Graduate,Married,3,Urban,Yes,1,8973,18552,0.52,Approved,Low Risk
46,40603,0,33000,180,1,Employed,Graduate,Married,,Urban,Yes,2,15311,76228,0.55,Rejected,Low Risk
29,62651,0,46000,48,1,Employed,Not Graduate,Single,1,Urban,No,2,19177,75673,0.48,Approved,Low Risk
28,45006,0,10000,48,0,Employed,Not Graduate,Single,0,Semiurban,No,0,16496,23165,0.37,Approved,Medium Risk
39,41655,0,69000,60,0,Unemployed,Graduate,Single,2,Rural,No,3,17678,11450,0.67,Rejected,High Risk
34,40278,19522,19000,120,0,Employed,Graduate,Married,1,Semiurban,Yes,0,19056,10608,0.47,Approved,Low Risk
40,31192,29204,71000,48,1,Employed,Graduate,Married,1,Rural,No,1,12992,44138,0.49,Approved,Low Risk
39,38281,0,56000,12,1,Employed,Graduate,Single,0,Rural,No,0,18863,59265,0.49,Rejected,Low Risk
40,64064,0,20000,120,1,Employed,Graduate,Single,0,Rural,No,0,25537,42489,0.4,Approved,Low Risk
44,47981,47560,146000,240,0,Employed,Not Graduate,Married,2,Rural,No,0,24707,0,0.51,Rejected,High Risk
36,28918,0,35000,36,1,,Not Graduate,Single,,Urban,No,0,17141,24597,0.66,Rejected,High Risk
51,82365,0,36000,60,1,Employed,Not Graduate,Married,3,Rural,No,1,33549,157145,0.48,Approved,Low Risk
46,47330,0,21000,60,1,Employed,Graduate,Single,3,Urban,No,0,14988,38264,0.32,Approved,Low Risk
43,26840,0,20000,48,0,Employed,Not Graduate,Married,3,Rural,No,4,7195,4354,0.57,Rejected,High Risk
52,88710,0,57000,36,1,Employed,Graduate,Single,0,Rural,No,2,34452,73563,0.54,Approved,Low Risk
31,61538,0,33000,360,1,Employed,Not Graduate,Single,1,Urban,No,0,12901,53831,0.21,Approved,Low Risk
28,61640,0,18000,48,1,Unemployed,Not Graduate,Married,0,Rural,No,2,21770,119582,0.53,Approved,Low Risk
33,74137,0,,240,0,Employed,Graduate,Single,4,Semiurban,No,1,40191,47864,0.62,Rejected,Medium Risk
48,82446,11898,74000,12,1,Employed,Graduate,Married,0,Rural,No,0,21458,77596,0.26,Approved,Low Risk
34,43671,18648,60000,36,0,Unemployed,Graduate,Married,0,Urban,No,2,14502,25764,0.48,Rejected,High Risk
39,29288,26927,10000,60,1,Employed,Graduate,Married,0,Urban,No,0,14237,60284,0.51,Approved,Low Risk
48,44294,0,48000,12,1,Employed,Not Graduate,Married,0,Semiurban,No,2,16087,54918,0.52,Rejected,Medium Risk
46,41245,50389,57000,36,1,Employed,Not Graduate,Married,3,Rural,No,2,18298,35071,0.59,Approved,Low Risk
37,31748,18580,40000,24,0,Unemployed,Graduate,Married,0,Rural,No,0,14416,14562,0.45,Rejected,High Risk
39,19728,0,,36,,Employed,Graduate,Single,1,Rural,No,1,6556,10208,0.41,Rejected,Low Risk
21,41575,12720,62000,120,1,Employed,Not Graduate,Married,2,Urban,No,1,22614,69508,0.62,Approved,Medium Risk
39,24997,19390,56000,24,1,Employed,Not Graduate,Married,0,Urban,No,1,10033,11058,0.48,Approved,Medium Risk
44,33734,23333,27000,24,1,Unemployed,Graduate,Married,3,Semiurban,No,0,13507,22806,0.42,Approved,Low Risk
40,52041,0,17000,48,0,Employed,Graduate,Single,3,Semiurban,No,1,25558,8385,0.6,Approved,High Risk
34,66662,35500,98000,120,1,Employed,Not Graduate,Married,0,Urban,No,0,16561,53195,0.27,Approved,Low Risk
39,21542,0,,180,1,Employed,Not Graduate,Single,1,Rural,No,0,6752,24468,0.36,Approved,Medium Risk
37,69509,59367,85000,84,1,Employed,Graduate,Married,0,Rural,No,0,26690,91641,0.45,Approved,Low Risk
41,82035,0,33000,24,1,Unemployed,Not Graduate,Single,2,Urban,No,1,24895,123532,0.38,Approved,Low Risk
56,67337,35417,,48,1,Employed,Not Graduate,Married,1,Semiurban,Yes,1,25304,87248,0.45,Approved,Low Risk
29,26260,32311,22000,240,1,Employed,Not Graduate,Married,3,Urban,No,2,12938,43378,0.64,Approved,Low Risk
43,30459,0,24000,36,1,Unemployed,Not Graduate,Married,2,Semiurban,No,0,12804,46857,0.42,Approved,Low Risk
38,15667,24662,23000,120,1,Employed,Graduate,Married,0,Urban,No,1,5234,25863,0.41,Approved,Low Risk
47,26856,53565,73000,60,1,Employed,Not Graduate,Married,2,Rural,No,0,9158,56506,0.34,Approved,Low Risk
27,53035,0,,24,1,Unemployed,Not Graduate,Married,1,Semiurban,No,0,19663,112525,0.38,Rejected,Low Risk
40,65131,0,50000,240,1,Employed,Graduate,Single,1,Rural,No,1,22203,129114,0.42,Approved,Low Risk
48,52385,15428,62000,60,1,Employed,Not Graduate,Married,,Rural,No,0,30156,27249,0.58,Approved,Medium Risk
30,89059,26297,79000,24,1,Unemployed,Not Graduate,Married,,Urban,No,0,51187,87799,0.61,Approved,Low Risk
41,46735,0,52000,180,1,Employed,Not Graduate,Single,1,Semiurban,Yes,0,15386,96519,0.33,Approved,Low Risk
44,79530,55582,51000,240,0,Employed,Graduate,Married,4,Urban,No,0,31588,51667,0.43,Approved,Low Risk
43,95634,0,88000,36,1,Unemployed,Graduate,Married,0,Semiurban,No,0,35180,105263,0.37,Approved,Low Risk
53,47126,0,26000,36,1,Employed,Graduate,Single,0,Semiurban,No,0,20785,17886,0.45,Approved,Low Risk
24,35647,0,27000,84,1,Employed,Graduate,Single,0,Rural,Yes,3,14695,41835,0.64,Rejected,High Risk
33,61706,32072,53000,48,0,Unemployed,Graduate,Married,0,Urban,No,0,29672,27985,0.5,Approved,Medium Risk
39,29050,0,53000,180,1,Employed,Not Graduate,Married,0,Semiurban,No,0,8111,43144,0.32,Approved,Medium Risk
32,64131,30426,80000,36,1,Employed,Graduate,Married,3,Urban,No,1,38031,90323,0.7,Approved,Low Risk
30,34904,36886,140000,60,1,Unemployed,Not Graduate,Married,4,Semiurban,No,3,12789,74209,0.59,Rejected,High Risk
25,46374,0,22000,36,1,Unemployed,Not Graduate,Single,4,Semiurban,No,0,14664,56652,0.34,Approved,Low Risk
45,22492,30209,46000,36,1,Unemployed,Graduate,Married,3,Urban,No,0,7786,31265,0.35,Approved,Low Risk
34,45357,0,32000,36,1,Unemployed,Graduate,Single,0,Rural,No,1,21532,66393,0.55,Approved,Medium Risk
36,88423,0,,36,1,Unemployed,Graduate,Single,0,Urban,No,1,37912,144061,0.5,Approved,Low Risk
55,50498,35710,60000,60,1,Unemployed,Not Graduate,Married,0,Rural,No,0,15126,89335,0.3,Approved,Low Risk
30,104573,0,19000,60,1,Employed,Graduate,Single,4,Rural,No,2,51310,88274,0.65,Rejected,Low Risk
28,23971,0,10000,240,1,Unemployed,Graduate,Married,2,Semiurban,No,1,8684,14842,0.44,Approved,Low Risk
35,19314,0,17000,24,1,Employed,Graduate,Married,2,Semiurban,Yes,0,5774,30806,0.34,Approved,Low Risk
53,48792,0,76000,120,1,,Graduate,Single,2,Urban,No,0,25964,77978,0.56,Rejected,Medium Risk
44,44992,0,21000,120,1,Employed,Not Graduate,Married,0,Semiurban,No,0,16819,67242,0.37,Approved,Low Risk
35,42325,28454,57000,36,1,Employed,Graduate,Married,3,Semiurban,Yes,2,13216,51687,0.47,Approved,Low Risk
37,45129,0,16000,60,1,Employed,Not Graduate,Married,0,Semiurban,No,0,16487,47139,0.37,Approved,Low Risk
48,91625,0,96000,84,1,Employed,Graduate,Single,2,Semiurban,No,0,53544,50426,0.58,Approved,Low Risk
37,36499,0,24000,60,1,Employed,Graduate,Single,,Semiurban,No,1,22030,38859,0.68,Approved,Low Risk
30,25397,66067,25000,360,1,Unemployed,Graduate,Married,1,Semiurban,No,2,9884,55589,0.54,Approved,Low Risk
35,84818,28032,106000,360,1,Employed,Not Graduate,Married,1,Urban,No,2,25496,130223,0.46,Approved,Low Risk
44,27195,18575,,12,0,Employed,Not Graduate,Married,2,Rural,Yes,1,15067,10858,0.63,Rejected,High Risk
34,40983,0,21000,84,1,Employed,Graduate,Married,1,Urban,No,0,15289,46404,0.39,Approved,Low Risk
47,73297,0,56000,48,1,Employed,Graduate,Single,1,Urban,No,1,26536,56518,0.45,Rejected,Low Risk
39,74877,0,86000,12,,Employed,Not Graduate,Single,4,Semiurban,No,0,35739,111814,0.48,Approved,Low Risk
39,81672,0,137000,84,1,Employed,Graduate,Single,4,Semiurban,Yes,1,33203,164045,0.48,Approved,Low Risk
32,65149,0,69000,60,1,Employed,Graduate,Single,2,Semiurban,No,0,23195,34785,0.36,Rejected,Low Risk
35,101764,0,34000,48,0,Employed,Graduate,Single,1,Semiurban,No,1,39666,42336,0.48,Approved,Low Risk
42,32558,0,43000,48,1,Employed,Graduate,Single,2,Semiurban,No,1,19761,31700,0.68,Rejected,High Risk
33,36184,0,14000,24,1,Employed,Not Graduate,Married,2,Semiurban,No,1,15963,42837,0.52,Approved,Low Risk
43,42123,29983,46000,60,1,,Not Graduate,Married,4,Urban,No,0,22296,30263,0.54,Approved,Low Risk
33,56187,0,36000,36,1,Employed,Not Graduate,Single,2,Rural,No,0,24999,106820,0.44,Approved,Low Risk
51,56952,0,79000,240,1,Employed,Graduate,Married,1,Rural,No,3,34713,114700,0.91,Rejected,High Risk
34,46689,0,35000,12,1,Employed,Graduate,Single,0,Urban,No,0,13208,92385,0.3,Approved,Low Risk
21,37292,0,43000,240,1,Employed,Graduate,Single,3,Semiurban,No,0,14777,14693,0.4,Approved,Low Risk
41,70955,0,104000,36,1,Employed,Graduate,Single,2,Semiurban,No,0,30302,77251,0.43,Approved,Low Risk
21,78714,0,58000,180,1,Unemployed,Graduate,Single,0,Urban,No,0,27253,80748,0.4,Approved,Low Risk
40,24141,17843,38000,48,1,Employed,Not Graduate,Married,0,Rural,No,2,12029,21101,0.65,Rejected,High Risk
28,56826,38390,112000,84,1,Employed,Graduate,Married,1,Urban,No,4,19702,29363,0.67,Approved,Medium Risk
38,72163,21564,46000,60,1,Employed,Not Graduate,Married,4,Semiurban,Yes,2,38633,67356,0.69,Approved,Low Risk
29,59845,22923,31000,240,,Employed,Graduate,Married,0,Urban,Yes,0,23998,22436,0.4,Approved,Low Risk
38,40014,27475,85000,180,1,Employed,Graduate,Married,0,Semiurban,No,2,13373,59743,0.48,Approved,Low Risk
34,123718,0,159000,240,1,Unemployed,Not Graduate,Single,3,Urban,No,0,39340,125425,0.32,Approved,Low Risk
55,44905,0,34000,12,0,Employed,Not Graduate,Single,2,Urban,No,0,18546,19969,0.48,Rejected,High Risk
23,53622,25890,177000,180,1,Unemployed,Graduate,Married,,Rural,No,0,24505,51895,0.46,Rejected,Medium Risk
36,38227,17868,23000,24,1,Employed,Not Graduate,Married,1,Urban,No,0,12543,12936,0.33,Approved,Low Risk
32,67615,0,127000,180,1,Unemployed,Graduate,Married,2,Semiurban,No,2,35495,80224,0.67,Rejected,High Risk
37,24266,0,38000,48,1,Employed,Graduate,Married,4,Semiurban,No,1,10741,24597,0.52,Rejected,High Risk
24,27426,17953,43000,60,1,Unemployed,Not Graduate,Married,2,Semiurban,No,3,16691,28084,0.85,Rejected,High Risk
45,28551,0,10000,36,0,Unemployed,Not Graduate,Married,2,Urban,No,1,8417,15514,0.38,Rejected,High Risk
41,57715,0,102000,84,1,Unemployed,Not Graduate,Single,3,Semiurban,No,0,28381,61756,0.53,Rejected,High Risk
41,61719,0,40000,120,1,Employed,Not Graduate,Married,0,Rural,No,0,33333,120246,0.54,Approved,Low Risk
38,78491,0,100000,180,1,Employed,Graduate,Single,1,Urban,No,0,42561,90796,0.58,Approved,Low Risk
30,58572,0,22000,240,1,Unemployed,Not Graduate,Single,1,Urban,No,0,24460,34407,0.42,Approved,Low Risk
29,43959,73460,36000,120,1,Employed,Not Graduate,Married,2,Urban,No,2,18770,73221,0.58,Approved,Low Risk
36,33444,0,28000,180,1,Employed,Graduate,Married,0,Rural,No,2,13303,24203,0.58,Approved,Medium Risk
25,29657,0,11000,60,1,Unemployed,Graduate,Single,4,Urban,No,0,11793,41429,0.4,Rejected,Low Risk
40,25959,35179,,240,1,Unemployed,Graduate,Married,2,Rural,No,0,12242,28253,0.47,Approved,Low Risk
38,48957,22382,41000,240,1,Employed,Graduate,Married,1,Urban,No,1,23735,65192,0.62,Approved,Low Risk
31,120211,0,106000,60,1,Employed,Not Graduate,Married,3,Semiurban,Yes,1,76673,117651,0.78,Rejected,Low Risk
46,24868,49252,49000,36,1,Employed,Graduate,Married,,Semiurban,No,0,11286,31506,0.45,Approved,Low Risk
38,29956,0,12000,60,0,Employed,Not Graduate,Single,1,Rural,No,3,14069,10068,0.69,Rejected,High Risk
35,51828,0,,36,1,Employed,Not Graduate,Married,0,Semiurban,Yes,0,30461,37217,0.6,Approved,Low Risk
41,28697,0,10000,60,1,,Not Graduate,Single,0,Urban,No,0,15345,46834,0.53,Approved,Low Risk
36,25444,0,10000,48,0,Employed,Graduate,Single,3,Rural,Yes,1,10159,4376,0.47,Rejected,High Risk
34,95231,17778,104000,180,,Unemployed,Not Graduate,Married,2,Rural,No,0,40427,167157,0.44,Approved,Low Risk
39,50326,57061,50000,60,1,Employed,Not Graduate,Married,3,Urban,Yes,0,21155,76598,0.42,Approved,Low Risk
23,52439,0,24000,240,1,Employed,Graduate,Married,3,Rural,Yes,1,18618,50721,0.43,Approved,Low Risk
41,42425,83794,196000,120,1,Employed,Graduate,Married,1,Urban,No,1,17541,31082,0.49,Approved,Low Risk
27,98169,0,147000,36,1,Unemployed,Not Graduate,Married,2,Urban,No,0,34203,93277,0.36,Approved,Low Risk
35,122687,23023,58000,36,1,Employed,Not Graduate,Married,1,Urban,No,0,51016,178156,0.5,Approved,Low Risk
28,44861,0,16000,60,1,Employed,Graduate,Married,2,Urban,No,1,20710,61847,0.54,Approved,Low Risk
28,48714,83089,61000,36,0,Employed,Not Graduate,Married,4,Urban,No,2,23743,27882,0.66,Rejected,High Risk
27,15000,0,10000,36,1,Employed,Not Graduate,Single,1,Urban,Yes,0,7366,4772,0.54,Rejected,High Risk
41,53836,0,67000,120,1,Employed,Graduate,Married,0,Urban,No,2,19016,25257,0.5,Rejected,Low Risk
21,127591,0,206000,240,0,Employed,Graduate,Single,4,Urban,No,0,75128,26562,0.59,Rejected,High Risk
33,29514,24013,16000,180,1,Employed,Graduate,Married,2,Rural,No,0,10266,31608,0.35,Approved,Low Risk
35,49697,0,16000,180,1,Unemployed,Not Graduate,Single,0,Urban,No,0,28763,42521,0.62,Approved,Low Risk
30,59774,0,58000,36,1,Employed,Graduate,Single,1,Semiurban,Yes,0,26152,50832,0.45,Approved,Low Risk
45,28263,0,36000,360,1,Employed,Not Graduate,Single,4,Semiurban,Yes,0,14041,26620,0.52,Rejected,High Risk
49,35644,0,29000,60,1,Employed,Not Graduate,Single,2,Rural,No,1,19452,48046,0.67,Rejected,High Risk
39,38124,0,17000,360,1,Employed,Not Graduate,Single,2,Semiurban,No,2,12989,32763,0.51,Approved,Low Risk
46,48684,0,17000,36,1,Employed,Not Graduate,Single,2,Rural,No,0,25397,7116,0.52,Approved,Low Risk
46,57033,0,111000,24,1,Employed,Graduate,Married,4,Urban,Yes,1,24200,78720,0.5,Rejected,Low Risk
37,38515,0,53000,180,1,Unemployed,Graduate,Single,0,Semiurban,No,0,17010,13461,0.46,Approved,Medium Risk
28,53861,0,26000,360,0,Employed,Graduate,Married,1,Urban,No,0,22645,10777,0.42,Approved,Low Risk
42,32981,0,15000,48,1,Employed,Not Graduate,Married,4,Semiurban,No,0,13421,26378,0.41,Approved,Low Risk
44,25516,0,10000,48,1,Unemployed,Graduate,Married,1,Urban,No,2,8602,27216,0.49,Approved,Low Risk
29,27040,0,34000,48,1,Employed,Not Graduate,Single,2,Rural,Yes,0,11968,36668,0.44,Approved,High Risk
51,40598,0,18000,24,1,Employed,Not Graduate,Single,0,Urban,No,0,12634,65716,0.32,Approved,Low Risk
41,44665,17490,43000,24,0,Employed,Graduate,Married,1,Semiurban,No,0,19263,25646,0.43,Rejected,Medium Risk
50,32835,0,18000,180,1,Employed,Graduate,Married,3,Rural,No,0,15618,37722,0.48,Approved,Low Risk
39,45662,17433,89000,84,1,Employed,Not Graduate,Married,0,Urban,No,0,15360,70370,0.37,Approved,Low Risk
40,49102,0,10000,84,1,Employed,Graduate,Single,1,Semiurban,Yes,1,15769,13669,0.41,Approved,Low Risk
33,42105,0,15000,120,1,Unemployed,Not Graduate,Single,0,Semiurban,No,0,9529,45416,0.23,Approved,Low Risk
46,29809,0,12000,48,1,Employed,Graduate,Single,0,Urban,No,0,12502,57462,0.43,Rejected,Low Risk
40,67417,25165,123000,24,0,Unemployed,Not Graduate,Married,2,Urban,No,1,34818,35295,0.59,Rejected,High Risk
41,22716,0,17000,48,1,Employed,Graduate,Single,2,Urban,No,0,9860,20555,0.45,Approved,Low Risk
44,36638,0,40000,24,,Employed,Not Graduate,Single,4,Rural,No,3,17999,72278,0.76,Rejected,High Risk
27,35336,0,59000,60,1,Employed,Graduate,Married,1,Semiurban,No,2,11465,39522,0.5,Rejected,High Risk
45,47166,0,26000,120,1,Employed,Graduate,Single,2,Rural,No,1,18385,37357,0.46,Approved,Low Risk
49,45911,0,13000,12,1,Employed,Graduate,Single,1,Rural,Yes,0,19279,0,0.43,Rejected,High Risk
44,37556,0,63000,12,0,Employed,Not Graduate,Single,2,Semiurban,No,0,19581,21263,0.52,Rejected,High Risk
43,76558,0,,60,1,Unemployed,Not Graduate,Married,4,Rural,No,1,36996,140717,0.57,Rejected,Medium Risk
36,91704,0,116000,36,1,Unemployed,Not Graduate,Single,2,Urban,No,0,32327,160001,0.35,Approved,Low Risk
37,36636,58606,109000,120,1,Employed,Not Graduate,Married,4,Rural,No,1,14313,47749,0.51,Approved,Low Risk
33,24105,41723,65000,48,1,Employed,Graduate,Married,3,Urban,No,2,11021,32703,0.61,Approved,Medium Risk
51,45414,0,46000,84,1,Employed,Not Graduate,Single,4,Rural,No,0,19380,46279,0.43,Approved,Low Risk
45,32850,0,34000,60,1,Employed,Not Graduate,Single,1,Urban,No,0,16380,53675,0.5,Approved,Low Risk
34,19727,0,10000,36,1,Unemployed,Graduate,Single,0,Rural,No,2,8360,15304,0.59,Rejected,High Risk
32,80584,0,38000,120,1,Unemployed,Not Graduate,Married,,Semiurban,No,1,35109,66651,0.52,Approved,Low Risk
